id,city,state,state_2,zip,created_at,updated_at,lat,long,tz_offset,dst
254,Peru,Massachusetts,MA,01235,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.433661,-73.09278,-05:00,t
255,Housatonic,Massachusetts,MA,01236,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.266874,-73.36236,-05:00,t
256,Hancock,Massachusetts,MA,01237,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.557346,-73.24364,-05:00,t
257,Lee,Massachusetts,MA,01238,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.299263,-73.23270,-05:00,t
260,Mill River,Massachusetts,MA,01244,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.139104,-73.20312,-05:00,t
261,West Otis,Massachusetts,MA,01245,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.180659,-73.20849,-05:00,t
263,Otis,Massachusetts,MA,01253,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.198403,-73.10205,-05:00,t
264,Richmond,Massachusetts,MA,01254,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.374711,-73.36336,-05:00,t
266,Savoy,Massachusetts,MA,01256,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.592506,-73.01123,-05:00,t
267,Sheffield,Massachusetts,MA,01257,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.102694,-73.36591,-05:00,t
268,South Egremont,Massachusetts,MA,01258,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.103122,-73.45734,-05:00,t
270,Stockbridge,Massachusetts,MA,01262,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.283216,-73.31423,-05:00,t
271,Tyringham,Massachusetts,MA,01264,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.224905,-73.20394,-05:00,t
272,West Stockbridge,Massachusetts,MA,01266,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.328535,-73.36407,-05:00,t
274,Leyden,Massachusetts,MA,01301,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.605524,-72.60098,-05:00,t
275,Ashfield,Massachusetts,MA,01330,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.521131,-72.81116,-05:00,t
276,New Salem,Massachusetts,MA,01331,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.579931,-72.20836,-05:00,t
279,Hawley,Massachusetts,MA,01339,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.626858,-72.87939,-05:00,t
280,Colrain,Massachusetts,MA,01340,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.673371,-72.73104,-05:00,t
282,Deerfield,Massachusetts,MA,01342,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.542322,-72.60910,-05:00,t
283,Erving,Massachusetts,MA,01344,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.607051,-72.41396,-05:00,t
284,Heath,Massachusetts,MA,01346,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.669255,-72.80494,-05:00,t
286,Monroe,Massachusetts,MA,01350,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.712257,-72.97629,-05:00,t
287,Montague,Massachusetts,MA,01351,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.534976,-72.52522,-05:00,t
288,New Salem,Massachusetts,MA,01355,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.485899,-72.33345,-05:00,t
290,New Salem,Massachusetts,MA,01364,2014-06-05 12:13:03.096882,2014-06-05 12:13:03.096882,42.599614,-72.29263,-05:00,t
